section_name,section_code,app_name_full,app_name_abbrev,app_status,decommission_date,pkg_ns,patch_ver,patch_ver_major,patch_ver_minor,patch_num,patch_id,patch_id_full,multi_ns,group_key,doc_code,doc_label,doc_layer,doc_labelling,doc_title,doc_filename,doc_slug,doc_format,doc_subject,noise_type,app_url,doc_url,companion_url
Clinical,CLI,Admission Discharge Transfer,ADT,active,,DG,5.3,5,3,1106,DG*5.3*1106,,0,ADT:DG:5.3,RN,Release Notes,patch,code,DG*5.3*1106 Release Notes,dg_5_3_1106_rn.docx,dg_5_3_1106_rn,docx,,,https://www.va.gov/vdl/application.asp?appid=55,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_1106_rn.docx,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_1106_rn.pdf
Clinical,CLI,Admission Discharge Transfer,ADT,active,,DG,5.3,5,3,1106,DG*5.3*1106,,0,ADT:DG:5.3,RN,Release Notes,patch,code,DG*5.3*1106 Release Notes,dg_5_3_1106_rn.pdf,dg_5_3_1106_rn,pdf,,,https://www.va.gov/vdl/application.asp?appid=55,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_1106_rn.pdf,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_1106_rn.docx
Clinical,CLI,Admission Discharge Transfer,ADT,active,,DG,5.3,5,3,1108,DG*5.3*1108,,0,ADT:DG:5.3,DIBR,"Deployment, Installation, Back-Out, and Rollback Guide",patch,code,"DG*5.3*1108 Deployment, Installation, Back-out, Rollback Guide",dg_5_3_p1108_dibrg.docx,dg_5_3_p1108_dibrg,docx,"Deployment, Installation, Back-out, Rollback Guide",,https://www.va.gov/vdl/application.asp?appid=55,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1108_dibrg.docx,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1108_dibrg.pdf
Clinical,CLI,Admission Discharge Transfer,ADT,active,,DG,5.3,5,3,1108,DG*5.3*1108,,0,ADT:DG:5.3,DIBR,"Deployment, Installation, Back-Out, and Rollback Guide",patch,code,"DG*5.3*1108 Deployment, Installation, Back-out, Rollback Guide",dg_5_3_p1108_dibrg.pdf,dg_5_3_p1108_dibrg,pdf,"Deployment, Installation, Back-out, Rollback Guide",,https://www.va.gov/vdl/application.asp?appid=55,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1108_dibrg.pdf,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1108_dibrg.docx
Clinical,CLI,Admission Discharge Transfer,ADT,active,,DG,5.3,5,3,1108,DG*5.3*1108,,0,ADT:DG:5.3,RN,Release Notes,patch,code,DG*5.3*1108 Release Notes,dg_5_3_p1108_rn.docx,dg_5_3_p1108_rn,docx,,,https://www.va.gov/vdl/application.asp?appid=55,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1108_rn.docx,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1108_rn.pdf
Clinical,CLI,Admission Discharge Transfer,ADT,active,,DG,5.3,5,3,1108,DG*5.3*1108,,0,ADT:DG:5.3,RN,Release Notes,patch,code,DG*5.3*1108 Release Notes,dg_5_3_p1108_rn.pdf,dg_5_3_p1108_rn,pdf,,,https://www.va.gov/vdl/application.asp?appid=55,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1108_rn.pdf,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1108_rn.docx
Clinical,CLI,Admission Discharge Transfer,ADT,active,,DG,5.3,5,3,1109,DG*5.3*1109,,0,ADT:DG:5.3,RN,Release Notes,patch,code,DG*5.3*1109 Release Notes,dg_5_3_1109_rn.docx,dg_5_3_1109_rn,docx,,,https://www.va.gov/vdl/application.asp?appid=55,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_1109_rn.docx,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_1109_rn.pdf
Clinical,CLI,Admission Discharge Transfer,ADT,active,,DG,5.3,5,3,1109,DG*5.3*1109,,0,ADT:DG:5.3,RN,Release Notes,patch,code,DG*5.3*1109 Release Notes,dg_5_3_1109_rn.pdf,dg_5_3_1109_rn,pdf,,,https://www.va.gov/vdl/application.asp?appid=55,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_1109_rn.pdf,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_1109_rn.docx
Clinical,CLI,Admission Discharge Transfer,ADT,active,,DG,5.3,5,3,1111,DG*5.3*1111,,0,ADT:DG:5.3,RN,Release Notes,patch,code,DG*5.3*1111 Release Notes,dg_5_3_p1111_rn.docx,dg_5_3_p1111_rn,docx,,,https://www.va.gov/vdl/application.asp?appid=55,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1111_rn.docx,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1111_rn.pdf
Clinical,CLI,Admission Discharge Transfer,ADT,active,,DG,5.3,5,3,1111,DG*5.3*1111,,0,ADT:DG:5.3,RN,Release Notes,patch,code,DG*5.3*1111 Release Notes,dg_5_3_p1111_rn.pdf,dg_5_3_p1111_rn,pdf,,,https://www.va.gov/vdl/application.asp?appid=55,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1111_rn.pdf,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1111_rn.docx
